,group,geometry,h3_index,node,Mode_Planned,Model,Line_Unique,address,area,location,TotalDemand,TotalTransfers,Total_Unique_Lines,BRT Lines,Cable Line Lines,Funicular Lines,HighSpeed Rail Lines,Interurban Rail Lines,LRT Lines,Metro Lines,Suburban Rail Lines,centroid,pop_0_500,emp_0_500,pop_500_1000,emp_500_1000,pop_1000_1500,emp_1000_1500,id,term_type,Region_category,Location_category,RegionLocation,Num_Modes,score,bus_terminal,HubType
10,10,"POLYGON ((35.304698907386786 32.916710428430584, 35.304045708159734 32.91631941871806, 35.30343123399351 32.91681999381676, 35.30346995650206 32.91771157126404, 35.30412315130481 32.91810258562427, 35.304737628023325 32.917602017889664, 35.304698907386786 32.916710428430584))",['8a2da4c31877fff'],[36950],['BRT'],Haifa,"['brt021', 'brt022']","הגליל א׳, הגליל, שיכון המייסדים, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,25.99652246,25.99652246,1,2,0,0,0,0,0,0,0,POINT (35.30408443218706 32.91721100204724),0.0,0.0,4932.378846517186,2028.5468443588504,9326.15356742494,6715.1609385689135,,,1,1,1,1,6.0,0,Not Hub
11,11,"POLYGON ((35.301931067445125 32.91158010529794, 35.30127783448 32.91118913238279, 35.30066337052573 32.911689736931365, 35.300702136983205 32.912581307033754, 35.30135536552441 32.91297228459873, 35.3019698320321 32.91247168741167, 35.301931067445125 32.91158010529794))",['8a2da4c31917fff'],[36946],['BRT'],Haifa,"['brt021', 'brt022']","שדרות נשיאי ישראל, ארבל-יחיעם, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,48.71712562,48.71712562,1,2,0,0,0,0,0,0,0,POINT (35.301316602457135 32.91208070836634),0.0,0.0,6359.07888424657,2615.3079082268814,9325.366265762988,5899.775638334856,,,1,1,1,1,6.0,0,Not Hub
12,12,"POLYGON ((35.28776392770927 32.864032291155596, 35.28714957511509 32.86453322749744, 35.28718872020601 32.86542483892376, 35.28657436290731 32.86592576045758, 35.28592086308046 32.86553507790464, 35.28530650364058 32.86603599197017, 35.28534564146493 32.86692758124896, 35.285999136872206 32.86731826847109, 35.286613498874715 32.86681736174544, 35.287266990283946 32.86720805350865, 35.287881350145206 32.866707139314855, 35.287842216034655 32.8658155260176, 35.28845657119156 32.86531459701527, 35.28841742795711 32.8644229735794, 35.28776392770927 32.864032291155596))","['8a2da4c34907fff', '8a2da4c34917fff', '8a2da4c34927fff']","[36903, 30003, 36904]",['BRT'],Haifa,"['brt021,', 'brt011', 'brt012', 'brt021', 'brt022']","سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,478.35688693,378.92563942,2,9,0,0,0,0,0,0,0,POINT (35.28699698449903 32.86588900360204),0.0,0.0,9427.014642277414,2219.7813999401747,1098.7623872193562,410.22503922393,,,1,1,1,1,27.0,0,Not Hub
13,13,"POLYGON ((35.29927932226976 32.90912467471145, 35.29862606843046 32.90873372474553, 35.29801160744531 32.90923433655337, 35.29805039774548 32.910125890967265, 35.29870364716093 32.91051684558382, 35.299318110700085 32.910016241136034, 35.29927932226976 32.90912467471145))",['8a2da4c35657fff'],[36944],['BRT'],Haifa,"['brt021', 'brt022']","הדר, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,2.89492766,2.89492766,1,2,0,0,0,0,0,0,0,POINT (35.29866486025072 32.90962528504001),0.0,0.0,0.0,0.0,16940.396791534433,6299.214849304807,,,1,1,1,1,6.0,0,Not Hub
14,14,"POLYGON ((35.294784088474636 32.90817118662694, 35.29413081418333 32.90778025950709, 35.293516349341 32.90828085628987, 35.293555156235456 32.909172372833716, 35.29420842610263 32.90956330460424, 35.294822893499486 32.90906271518044, 35.294784088474636 32.90817118662694))",['8a2da4c35687fff'],[36942],['BRT'],Haifa,"['brt021', 'brt022']","Super Sweets, 100, שדרות נשיאי ישראל, האירוסים, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,241.85022394,241.85022394,1,2,0,0,0,0,0,0,0,POINT (35.29416962259815 32.908671781930884),0.0,0.0,0.0,0.0,17846.883322192476,6039.438066762885,,,1,1,1,1,6.0,0,Not Hub
15,15,"POLYGON ((35.25892592710958 32.88845954547763, 35.25827243372509 32.88806886109965, 35.257657971901736 32.88856944111602, 35.257697000902255 32.88946069816533, 35.25835048986186 32.88985138719958, 35.25896495424584 32.88935081452843, 35.25892592710958 32.88845954547763))",['8a2da4c36187fff'],[36932],['BRT'],Haifa,"['brt021', 'brt022']","784, מועצה אזורית משגב, נפת עכו, מחוז הצפון, 2014200, ישראל",חיפה,טבעת,173.77416173,173.77416173,1,2,0,0,0,0,0,0,0,POINT (35.25831146424987 32.88896012402279),0.0,0.0,1058.4557441968282,372.82292985504057,1849.524712250088,625.7218749679969,,,1,2,2,1,6.0,0,Not Hub
16,16,"POLYGON ((35.09908985427145 33.00363199489554, 35.0984748520037 33.004130773945576, 35.09851336318922 33.0050201678351, 35.09916687474047 33.00541079463267, 35.09978187956004 33.00491202295245, 35.09974337027655 33.00402261710467, 35.09908985427145 33.00363199489554))","['8a2da4cb27a7fff', '8a2da4cb27a7fff']","[31624, 31624]","['Rail', 'HighSpeed Rail', 'Interurban Rail']",National,"['rail_3_1', 'rail_3_2,', 'rail_2_1', 'rail_2_2']","גדוד 21, קרית בן-גוריון, נהריה, נפת עכו, מחוז הצפון, 2220903, ישראל",חיפה,טבעת,24623.819497,19980.96551,2,0,0,0,2,2,0,0,0,POINT (35.09912836696562 33.004521394647035),0.0,0.0,12662.704764143582,7390.681427274933,19567.28504300434,5417.816764144837,421.0,מסוף בינוני,1,2,2,2,33.0,2,Regional
17,17,"POLYGON ((35.35756464800444 32.85974812025264, 35.35691137296535 32.859357183253856, 35.35629713440592 32.859858515877384, 35.356336168327026 32.860750778151875, 35.3569894389537 32.86114171982948, 35.357603680071676 32.860640394553954, 35.35756464800444 32.85974812025264))",['8a2da4d0b517fff'],[36926],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","طريق الجليل, دير حنا, נפת עכו, מחוז הצפון, 2017600, ישראל",צפון,צפון,0.404395,0.404395,1,4,0,0,0,0,0,0,0,POINT (35.35695040841345 32.86024945141275),0.0,0.0,0.0,0.0,9494.049477054325,2255.384687810516,,,1,1,1,1,12.0,0,Not Hub
18,18,"POLYGON ((35.37415876325459 32.86098999386831, 35.37350555351668 32.86059898384693, 35.37289133600321 32.8611003915498, 35.372930325670495 32.86199280192318, 35.37358353099739 32.862383816624416, 35.374197751067975 32.86188241627261, 35.37415876325459 32.86098999386831))",['8a2da4d0bb8ffff'],[36927],['BRT'],Haifa,"['brt011', 'brt021']","دير حنا, נפת עכו, מחוז הצפון, 2017600, ישראל",צפון,צפון,624.9437899999999,504.3580399,1,2,0,0,0,0,0,0,0,POINT (35.37354454471046 32.86149140010697),0.0,0.0,0.0,0.0,4968.089482377401,1062.15280542317,,,1,1,1,1,6.0,0,Not Hub
19,19,"POLYGON ((35.31434838574372 32.860824313107756, 35.313694961167066 32.86043354452229, 35.313080656257064 32.86093464509785, 35.31311977336223 32.86182650691715, 35.3137731935225 32.86221728017678, 35.31438750099399 32.86171618694316, 35.31434838574372 32.860824313107756))",['8a2da4d1949ffff'],[36917],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","البلاني, مركز البلد, سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,970.4033302,579.932309,1,4,0,0,0,0,0,0,0,POINT (35.313734079799914 32.86132541222048),0.0,0.0,4853.611103138312,1863.6451641119409,7632.053000440166,1884.0185563685716,,,1,1,1,1,12.0,0,Not Hub
20,20,"POLYGON ((35.33704917503063 32.856161548922664, 35.336395809884465 32.85577071245433, 35.335781551159876 32.856271969751965, 35.33582065502083 32.857164056174796, 35.33647401575324 32.85755489732162, 35.337088277038454 32.857053647367316, 35.33704917503063 32.856161548922664))",['8a2da4d19a2ffff'],[36920],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","عرابة, נפת עכו, מחוז הצפון, 2017600, ישראל",צפון,צפון,1187.1784661,1187.1784661,1,4,0,0,0,0,0,0,0,POINT (35.336434915273365 32.8566628047586),0.0,0.0,0.0,0.0,14110.874732152872,3819.5084063843738,,,1,1,1,1,12.0,0,Local
21,21,"POLYGON ((35.337741633750355 32.85744449305835, 35.337088277038454 32.857053647367316, 35.33647401575324 32.85755489732162, 35.33651310861951 32.858446985623125, 35.33716646091753 32.858837835992176, 35.33778072476314 32.858336593381885, 35.337741633750355 32.85744449305835))",['8a2da4d19a77fff'],[36921],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","عرابة, נפת עכו, מחוז הצפון, 2017600, ישראל",צפון,צפון,0.0,0.0,1,4,0,0,0,0,0,0,0,POINT (35.3371273714325 32.857945741550495),0.0,0.0,0.0,0.0,13754.501150875863,3707.1998689548336,,,1,1,1,1,12.0,0,Not Hub
22,22,"MULTIPOLYGON (((35.297213945235654 32.86186769087198, 35.29659961236059 32.86236869431088, 35.2966387535846 32.86326039994979, 35.297292225828066 32.86365111416158, 35.29790656126559 32.863150118062684, 35.29786742189716 32.86225840041178, 35.297213945235654 32.86186769087198)), ((35.29406397484097 32.86258927332141, 35.2941031197764 32.86348095493731, 35.294756600024016 32.863871660066316, 35.29537093975449 32.863370678907984, 35.29533179667477 32.86247898528071, 35.29467831200887 32.86208828482332, 35.29406397484097 32.86258927332141)))","['8a2da4d1a26ffff', '8a2da4d1bc8ffff', '8a2da4d1bc8ffff']","[36907, 30034, 36909]",['BRT'],Haifa,"['brt022,', 'brt011', 'brt012', 'brt021', 'brt022']","عرين الغابة, مركز البلد, سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,219.01432988,219.01432988,2,9,0,0,0,0,0,0,0,POINT (35.29598528401716 32.862869686413404),0.0,0.0,10736.67466908453,2528.167360720784,1978.5360883133603,745.8563818433464,,,1,1,1,1,27.0,0,Not Hub
23,23,"POLYGON ((35.29222094963072 32.86409219425657, 35.291567461381284 32.86370149820998, 35.290953115216126 32.86420245695908, 35.290992254737844 32.86509410441505, 35.29164573856849 32.86548480513223, 35.29226008729618 32.86498385372307, 35.29222094963072 32.86409219425657))",['8a2da4d1a2effff'],[36906],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","مركز البلد, سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,4.048049209999999,4.048049209999999,1,4,0,0,0,0,0,0,0,POINT (35.2916066024306 32.86459315154222),0.0,0.0,13874.598761231282,3267.055099680396,1884.9487285382104,704.7781287524274,,,1,1,1,1,12.0,0,Not Hub
24,24,"POLYGON ((35.280810218828606 32.86508445317117, 35.28015669459959 32.86469379799029, 35.27954232916448 32.865194689523435, 35.27958148539525 32.866086228899, 35.280235005204325 32.86647688874891, 35.28084937320259 32.865976004554426, 35.280810218828606 32.86508445317117))",['8a2da4d1a6d7fff'],[36900],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","הגליל, سخنين, מועצה אזורית משגב, נפת עכו, מחוז הצפון, 2014200, ישראל",חיפה,טבעת,242.91804719,242.91804719,1,4,0,0,0,0,0,0,0,POINT (35.280195852357984 32.865585343240745),0.0,0.0,0.0,0.0,8733.929162678589,2347.933217809571,,,1,2,2,1,12.0,0,Not Hub
25,25,"POLYGON ((35.31054517879008 32.86115530028581, 35.30989174218518 32.86076454532778, 35.30927743081221 32.86126562348392, 35.30931655348243 32.86215744925684, 35.30996998567057 32.86254820888853, 35.310584299605246 32.86204713807386, 35.31054517879008 32.86115530028581))",['8a2da4d1b857fff'],[36915],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","شارع أردبيل, البلاني, سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,40.89725377,40.89725377,1,4,0,0,0,0,0,0,0,POINT (35.3099308663831 32.8616563769791),0.0,0.0,4214.249739449101,1618.1490400427977,9909.751863923257,2396.3026807003585,,,1,1,1,1,12.0,0,Not Hub
26,26,"POLYGON ((35.307317096540544 32.86009338599482, 35.30666364349564 32.859702649337144, 35.3060493303793 32.86020371988864, 35.30608846774573 32.861095519757484, 35.30674191637369 32.861486261089, 35.307356232052165 32.86098519787802, 35.307317096540544 32.86009338599482))",['8a2da4d1b8affff'],[36913],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","طريق الجليل, البركة, سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,141.33988322,141.33988322,1,4,0,0,0,0,0,0,0,POINT (35.30670278239 32.860594455083906),0.0,0.0,0.0,0.0,13258.359086161352,3655.554712585043,,,1,1,1,1,12.0,0,Not Hub
27,27,"POLYGON ((35.301670813599586 32.861927501137764, 35.30101734894896 32.86153677797355, 35.30040302251789 32.86203780382534, 35.30044215817519 32.862929545501125, 35.30109561840812 32.86332027333784, 35.30170994740141 32.862819254826476, 35.301670813599586 32.861927501137764))",['8a2da4d1bc57fff'],[36912],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","مركز البلد, سخنين, נפת עכו, מחוז הצפון, 2014200, ישראל",צפון,צפון,57.55455716,57.55455716,1,4,0,0,0,0,0,0,0,POINT (35.30105648613402 32.86242852552665),0.0,0.0,0.0,0.0,13767.213918902493,3638.310747160473,,,1,1,1,1,12.0,0,Not Hub
28,28,"POLYGON ((35.33974222451073 32.716174569706475, 35.339088220655654 32.71578442715289, 35.3384743582678 32.716286887069195, 35.33851449714997 32.71717948225504, 35.33916849660944 32.71756962955138, 35.33978236158239 32.717067176919336, 35.33974222451073 32.716174569706475))",['8a2da4d22087fff'],[34044],['LRT'],Haifa,"['lrt01', 'lrt02', 'lrt03', 'lrt04', 'lrt05', 'lrt06']","מעלה יצחק, אזור תעשייה נוף הגליל, הר יונה, נוף הגליל, נפת יזרעאל, מחוז הצפון, 1753005, ישראל",צפון,צפון,315.59761575999994,4.28548519,1,0,0,0,0,0,6,0,0,POINT (35.33912836108844 32.71667702820979),0.0,0.0,353.94908800624864,3223.4557049342147,13038.002387027836,4030.763165741498,,,1,1,1,1,24.0,0,Not Hub
29,29,"POLYGON ((35.335577022172586 32.708478251704264, 35.334922967908504 32.70808816474217, 35.33430912103702 32.70859066835039, 35.334349325842865 32.70948325164055, 35.33500337571191 32.70987334334852, 35.33561722517013 32.70937084702064, 35.335577022172586 32.708478251704264))",['8a2da4d22c8ffff'],[34028],['LRT'],Haifa,"['lrt01', 'lrt02', 'lrt03', 'lrt04', 'lrt05', 'lrt06']","מעלה יצחק, נוף הגליל, נפת יזרעאל, מחוז הצפון, 1765413, ישראל",צפון,צפון,1554.4528143,1554.4528143,1,0,0,0,0,0,6,0,0,POINT (35.3349631742663 32.708980753902246),0.0,0.0,269.2435149276511,2452.0321526997564,11366.767301097643,4403.407881906533,,,1,1,1,1,24.0,0,Local
30,30,"POLYGON ((35.306956247928795 32.694888314907274, 35.30630202898828 32.69449841140519, 35.305688178129294 32.69500088222447, 35.30572854361961 32.695893249275734, 35.306382758164304 32.69628315752707, 35.30699661161451 32.69578069397807, 35.306956247928795 32.694888314907274))",['8a2da4d30907fff'],[34033],['LRT'],Haifa,"['lrt01', 'lrt02', 'lrt03', 'lrt04', 'lrt05', 'lrt06']","דרך הציונות, נוף הגליל, נפת יזרעאל, מחוז הצפון, 1756103, ישראל",צפון,צפון,366.18063535,207.3947615,1,0,0,0,0,0,6,0,0,POINT (35.30634239603332 32.69539078432163),0.0,0.0,8251.903627315529,7350.972597364856,17892.24258631917,10110.071170884255,1150.0,מסוף בינוני,1,1,1,1,24.0,2,Not Hub
31,31,"POLYGON ((35.32500888258418 32.72823155847977, 35.324354881866235 32.72784141418283, 35.32374096372541 32.72834369576341, 35.323781043718455 32.72923611435393, 35.32443504003786 32.72962626338668, 35.32504896076276 32.7291239890933, 35.32500888258418 32.72823155847977))",['8a2da4d3106ffff'],[34027],['LRT'],Haifa,"['lrt01', 'lrt02', 'lrt03', 'lrt04', 'lrt05', 'lrt06']","SoGood, 754, الرينة, נפת יזרעאל, מחוז הצפון, 1753005, ישראל",צפון,צפון,1299.80064805,642.9229985500001,1,0,0,0,0,0,6,0,0,POINT (35.32439496340825 32.72873383864345),0.0,0.0,1415.647119896612,410.71863939470927,8704.134576768089,2857.195806368355,594.0,מסוף בינוני,1,1,1,1,24.0,2,Local
32,32,"POLYGON ((35.283617657754064 32.72786028253872, 35.28296350809561 32.72747030612652, 35.282349530209245 32.727972377125774, 35.2823896993942 32.728864417256595, 35.28304384465049 32.72925439840077, 35.28365782512399 32.72875233468234, 35.283617657754064 32.72786028253872))",['8a2da4d3238ffff'],[34026],['LRT'],Haifa,"['lrt01', 'lrt02', 'lrt03', 'lrt04', 'lrt05', 'lrt06']","79, الناصرة, נפת יזרעאל, מחוז הצפון, 1789064, ישראל",צפון,צפון,1718.7750657,806.3946309,1,0,0,0,0,0,6,0,0,POINT (35.28300367883041 32.72836235212207),0.0,0.0,0.0,243.94048960777772,11186.129942887095,2463.8783486453726,,,1,1,1,1,24.0,0,Local
33,33,"POLYGON ((35.29795846044803 32.69299932246631, 35.297998856912 32.69389162543625, 35.298653108166704 32.694281492587855, 35.29869349365597 32.69517379755237, 35.29934773652769 32.695563673966966, 35.29996159830653 32.69506124066831, 35.30061583719117 32.69545112159723, 35.30122969678732 32.69494868079486, 35.301189314907035 32.69405635179434, 35.300535071626186 32.6936664756145, 35.299921214621804 32.694168923685936, 35.29926696735374 32.693779052020275, 35.299226572693904 32.69288673703264, 35.29857231704293 32.692496874630436, 35.29795846044803 32.69299932246631))","['8a2da4d3468ffff', '8a2da4d346c7fff', '8a2da4d346c7fff', '8a2da4d346d7fff', '8a2da4d346d7fff']","[36987, 34034, 35023, 36964, 36965]","['BRT', 'LRT']",Haifa,"['brt031', 'brt032,', 'brt032', 'brt042,', 'lrt01', 'lrt03', 'lrt05,', 'brt031', 'brt032', 'brt041', 'brt042']","توفيق زياد/شارع 75, 75, ארמון האגמון, الناصرة, נפת יזרעאל, מחוז הצפון, 1756103, ישראל",צפון,צפון,4996.270628820001,4232.67546572,4,12,0,0,0,0,3,0,0,POINT (35.29949851064501 32.69420644816718),0.0,0.0,8294.642884385406,6405.017614574742,22208.9378573469,11176.792144943089,,,1,1,1,2,52.800000000000004,0,Local
34,34,"POLYGON ((35.2991053484224 32.69020977601743, 35.29845107999319 32.68981992762966, 35.29783723076576 32.69032239750436, 35.29787764737496 32.69121470849994, 35.29853191140827 32.69160456163837, 35.29914576322829 32.691102099030765, 35.2991053484224 32.69020977601743))",['8a2da4d346a7fff'],[36990],['BRT'],Haifa,"['brt031', 'brt032']","ארמון האגמון, الناصرة, נפת יזרעאל, מחוז הצפון, 1756103, ישראל",צפון,צפון,229.4623235,7.71498481,1,2,0,0,0,0,0,0,0,POINT (35.29849149815803 32.690712244489035),0.0,0.0,7554.835148983288,5833.747501720412,17265.295318783068,6903.760435547524,,,1,1,1,1,6.0,0,Not Hub
