,group,geometry,h3_index,node,Mode_Planned,Model,Line_Unique,address,area,location,TotalDemand,TotalTransfers,Total_Unique_Lines,BRT Lines,Cable Line Lines,Funicular Lines,HighSpeed Rail Lines,Interurban Rail Lines,LRT Lines,Metro Lines,Suburban Rail Lines,centroid,pop_0_500,emp_0_500,pop_500_1000,emp_500_1000,pop_1000_1500,emp_1000_1500,id,term_type,Region_category,Location_category,RegionLocation,Num_Modes,score,bus_terminal,HubType
0,0,"POLYGON ((35.58265301880704 33.2100839260914, 35.582002202628736 33.20969033205764, 35.58138733266004 33.21018982795275, 35.58142327638955 33.211082910351365, 35.58207408813219 33.211476508924456, 35.582688960580974 33.21097702055978, 35.58265301880704 33.2100839260914))",['8a2da4100a27fff'],[31655],['Interurban Rail'],National,"['rail_1_1', 'rail_1_2']","מנחם בגין/נורית, שדרות מנחם בגין, הורדים, קרית שמונה, נפת צפת, מחוז הצפון, 1102440, ישראל",צפון,צפון,3037.68534095,153.39311669,1,0,0,0,0,2,0,0,0,POINT (35.582038147824136 33.21058342039613),0.0,0.0,1660.6325035988757,296.7298575093582,6877.657374781541,5103.240829538039,928.0,חניון לילה,1,1,1,1,14.0,1,Train Station
1,1,"POLYGON ((35.32671223620188 32.92554871232436, 35.326059156721065 32.92515756983206, 35.32544469001563 32.925658182996145, 35.32548330024189 32.926549931281556, 35.32613637529922 32.92694107841962, 35.326750844553786 32.926440472626716, 35.32671223620188 32.92554871232436))",['8a2da4c22257fff'],[36963],['BRT'],Haifa,['brt022'],"מיי סנטר, מעלה כמון, אזור תעשייה כרמיאל, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,920.5066456,920.5066456,1,1,0,0,0,0,0,0,0,POINT (35.32609776846422 32.92604932400285),0.0,0.0,0.0,0.0,5250.902459105768,9064.99848786154,,,1,1,1,1,3.0,0,Not Hub
2,2,"MULTIPOLYGON (((35.31637847673026 32.921966033612435, 35.3157640047982 32.92246662411145, 35.31580265924815 32.923358294813404, 35.31645578375665 32.9237493870308, 35.31707025823912 32.92324880390011, 35.31703160566268 32.922357121183495, 35.31637847673026 32.921966033612435)), ((35.318337851067795 32.92313931007815, 35.31772337872976 32.923639900670565, 35.31776202031389 32.924531585217714, 35.31841513236221 32.924922691187284, 35.319029607250286 32.92442210796399, 35.31899096754 32.923530411401764, 35.318337851067795 32.92313931007815)))","['8a2da4c22627fff', '8a2da4c2275ffff']","[36959, 36961]",['BRT'],Haifa,"['brt021', 'brt022,', 'brt021']","החרושת/חשמל, החרושת, אזור תעשייה כרמיאל, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,610.2591356799999,119.7674542,2,3,0,0,0,0,0,0,0,POINT (35.317396815534096 32.923444356611704),0.0,0.0,0.0,0.0,9675.191216138726,8282.26487697755,,,1,1,1,1,9.0,0,Not Hub
3,3,"POLYGON ((35.34684915390923 32.86202464664849, 35.34619585106017 32.861633741340974, 35.34558159038053 32.86213499930376, 35.34562062999099 32.863027155226916, 35.34627392842643 32.86341806521119, 35.34688819166499 32.86291681459574, 35.34684915390923 32.86202464664849))",['8a2da4c24987fff'],[36924],['BRT'],Haifa,"['brt011', 'brt012', 'brt021', 'brt022']","طريق الجليل, عرابة, נפת עכו, מחוז הצפון, 2017600, ישראל",צפון,צפון,322.391024,322.391024,1,4,0,0,0,0,0,0,0,POINT (35.346234892197494 32.86252590314732),0.0,0.0,0.0,0.0,11361.383274319782,2865.1475089389046,,,1,1,1,1,12.0,0,Not Hub
4,4,"POLYGON ((35.2815307559088 32.910659675497065, 35.28087744601242 32.91026878920792, 35.280262955154626 32.910769296573555, 35.28030177163816 32.91166068287055, 35.280955077108906 32.91205157380796, 35.28156957052177 32.91155107380034, 35.2815307559088 32.910659675497065))",['8a2da4c30057fff'],[36935],['BRT'],Haifa,"['brt021', 'brt022']","בי""ס מקיף אורט כרמים, מעלה אורט, הגליל, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2196024, ישראל",צפון,צפון,539.1727258999999,453.6796692,1,2,0,0,0,0,0,0,0,POINT (35.28091626401618 32.91116018138332),0.0,0.0,0.0,0.0,17306.065208198805,4477.250200211695,,,1,1,1,1,6.0,0,Not Hub
5,5,"POLYGON ((35.28902098129838 32.90732746019995, 35.28836768256005 32.90693656047169, 35.28775321173299 32.907437134769324, 35.28779203708917 32.908328601437596, 35.28844533140298 32.90871950581638, 35.28905980478514 32.90821893887652, 35.28902098129838 32.90732746019995))",['8a2da4c30a07fff'],[36940],['BRT'],Haifa,"['brt021', 'brt022']","שדרות נשיאי ישראל, האירוסים, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2196024, ישראל",צפון,צפון,143.58737302000003,143.58737302000003,1,2,0,0,0,0,0,0,0,POINT (35.28840650943685 32.90782803301915),0.0,0.0,0.0,0.0,17756.68465938428,5338.192659896662,,,1,1,1,1,6.0,0,Not Hub
6,6,"POLYGON ((35.28590978560884 32.908938813106104, 35.28525648329009 32.90854791782308, 35.28464200350974 32.909048462383, 35.28468082349306 32.90993989486816, 35.285334121386754 32.910330794800686, 35.285948603722176 32.90983025759873, 35.28590978560884 32.908938813106104))",['8a2da4c30a87fff'],[36938],['BRT'],Haifa,"['brt021', 'brt022']","אשכולות, הגליל, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2196024, ישראל",צפון,צפון,384.7022043,384.7022043,1,2,0,0,0,0,0,0,0,POINT (35.28529530479385 32.909439356187114),0.0,0.0,3859.667278364031,625.924727599872,14689.629366145977,4486.971451705692,,,1,1,1,1,6.0,0,Not Hub
7,7,"MULTIPOLYGON (((35.302971597721125 32.92088682500113, 35.303010291011624 32.92177838392426, 35.30366346852881 32.92216941677499, 35.303702150831334 32.923060977529154, 35.30435531991178 32.9234520195768, 35.3049698111147 32.92295149622517, 35.304931130685844 32.92205992345932, 35.304277957180396 32.92166888605698, 35.304239265763194 32.920777315122294, 35.30358608382111 32.92038628691737, 35.302971597721125 32.92088682500113)), ((35.3062374652472 32.922842012013135, 35.30689062630267 32.92323306316465, 35.30750511322758 32.92273252489288, 35.30746643654587 32.921840928102746, 35.30681327106567 32.92144988159684, 35.30619878669193 32.921950427235274, 35.3062374652472 32.922842012013135)), ((35.30112812576682 32.922388394681604, 35.3011668118168 32.92327993141337, 35.30055231420168 32.923780432386444, 35.300590991138364 32.92467195893724, 35.30124416381602 32.925062996525654, 35.30185866398245 32.924562502919215, 35.30181998891993 32.92367096435753, 35.30243448439831 32.92317045592519, 35.30239580022209 32.922278907182374, 35.30174261869371 32.92188787888316, 35.30112812576682 32.922388394681604)))","['8a2da4c31147fff', '8a2da4c31167fff', '8a2da4c31167fff', '8a2da4c31b1ffff', '8a2da4c31b87fff', '8a2da4c31bb7fff']","[36716, 36714, 36953, 36958, 36955, 36951]",['BRT'],Haifa,"['brt021', 'brt022']","85, מרכז העיר, نحف, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,2881.3631472,2163.8430333,1,12,0,0,0,0,0,0,0,POINT (35.303556064748236 32.92262612059102),0.0,0.0,0.0,0.0,13576.075867650969,7333.900667563714,,,1,1,1,1,36.0,0,Not Hub
8,8,"POLYGON ((35.29482835672485 32.92382726524076, 35.29421384843531 32.9243277289205, 35.29425253474382 32.92521919542182, 35.294905727467416 32.92561021025248, 35.29552023830859 32.925109753938585, 35.295481553874545 32.92421827542802, 35.29482835672485 32.92382726524076))","['8a2da4c3119ffff', '8a2da4c3119ffff']","[31656, 31656]","['Rail', 'Interurban Rail', 'Suburban Rail']",National,"['rail_5_1', 'rail_5_2', 'rail_1_1', 'rail_1_2,', 'rail_6_1', 'rail_6_2']","דרור, מגדים, כרמיאל, נפת עכו, מחוז הצפון, 2196024, ישראל",צפון,צפון,10791.605236,6081.038438,2,0,0,0,0,4,0,0,2,POINT (35.29486704455111 32.92471873762332),0.0,0.0,0.0,0.0,15419.407983504523,5997.050771173712,,,1,1,1,2,44.0,0,Regional
9,9,"POLYGON ((35.30331502626051 32.914145244792245, 35.30266181016331 32.913754253477926, 35.302047341102494 32.914254843302835, 35.30208608558607 32.915146417079484, 35.302739297259144 32.91553741304257, 35.30335376887278 32.91503683058044, 35.30331502626051 32.914145244792245))",['8a2da4c31827fff'],[36948],['BRT'],Haifa,"['brt021', 'brt022']","צה״ל, טנה, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל",צפון,צפון,28.91980053,28.27305576,1,2,0,0,0,0,0,0,0,POINT (35.30270055616608 32.91464583313606),0.0,0.0,6328.492460491988,2602.7285838646844,10001.334122415616,7009.055801706717,,,1,1,1,1,6.0,0,Not Hub
